tcp-traceroute from 192.168.100.4 to 104.20.67.46
 9  221.120.200.3  21.340 ms ICMP
10  104.24.115.186  19.383 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 46.229.169.163
 1  192.168.100.1  2.293 ms ICMP
 2  202.163.124.100  3.542 ms ICMP
 3  *
 4  202.163.124.57  2.712 ms ICMP
 5  116.71.134.65  2.849 ms ICMP
 6  221.120.223.53  2.813 ms ICMP
 7  221.120.254.18  28.253 ms ICMP
 8  202.125.128.135  27.753 ms ICMP
 9  213.242.115.57  134.110 ms ICMP
10  4.69.141.198  135.661 ms ICMP
11  *
12  91.194.117.172  221.275 ms ICMP
13  98.158.98.222  224.418 ms ICMP
14  10.10.254.206  225.578 ms ICMP
15  10.10.254.125  224.382 ms ICMP
16  46.229.169.163  226.025 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 23.224.11.6
 1  192.168.100.1  45.173 ms ICMP
 2  202.163.124.100  2.843 ms ICMP
 3  *
 4  202.163.124.57  4.009 ms ICMP
 5  116.71.134.65  3.006 ms ICMP
 6  221.120.223.53  6.521 ms ICMP
 7  221.120.254.18  23.980 ms ICMP
 8  202.125.128.134  24.881 ms ICMP
 9  93.186.129.216  121.198 ms ICMP
10  195.22.205.13  144.870 ms ICMP
11  46.33.83.178  145.039 ms ICMP
12  89.149.141.125  299.782 ms ICMP
13  69.174.2.154  294.095 ms ICMP
14  *
15  23.225.225.242  287.155 ms ICMP
16  23.224.58.2  293.382 ms ICMP
17  23.224.58.242  298.257 ms ICMP
18  23.224.58.126  286.119 ms ICMP
19  23.224.11.6  288.722 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.28.6.196
 1  192.168.100.1  0.911 ms ICMP
 2  202.163.124.100  2.323 ms ICMP
 3  *
 4  202.163.124.57  3.134 ms ICMP
 5  116.71.134.65  2.871 ms ICMP
 6  221.120.223.53  4.967 ms ICMP
 7  221.120.254.18  26.227 ms ICMP
 8  221.120.251.101  24.663 ms ICMP
 9  221.120.200.3  22.929 ms ICMP
10  104.28.6.196  22.769 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 192.74.239.236
 1  192.168.100.1  0.862 ms ICMP
 2  202.163.124.100  2.381 ms ICMP
 3  192.168.146.53  6.343 ms ICMP
 4  202.163.124.57  2.632 ms ICMP
 5  116.71.134.65  3.377 ms ICMP
 6  221.120.223.53  3.821 ms ICMP
 7  221.120.254.18  24.848 ms ICMP
 8  221.120.248.43  22.245 ms ICMP
 9  *
10  80.249.209.150  154.102 ms ICMP
11  72.52.92.213  159.871 ms ICMP
12  72.52.92.166  225.765 ms ICMP
13  184.105.81.218  296.806 ms ICMP
14  72.52.92.117  294.046 ms ICMP
15  65.49.22.218  288.871 ms ICMP
16  *
17  *
18  192.74.239.236  289.881 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 203.78.140.181
 1  192.168.100.1  0.888 ms ICMP
 2  202.163.124.100  2.310 ms ICMP
 3  *
 4  202.163.124.57  11.476 ms ICMP
 5  116.71.134.65  3.134 ms ICMP
 6  221.120.223.53  6.388 ms ICMP
 7  221.120.254.18  25.579 ms ICMP
 8  202.125.128.163  24.070 ms ICMP
 9  *
10  80.249.209.150  155.618 ms ICMP
11  184.105.81.109  182.917 ms ICMP
12  184.105.222.22  212.390 ms ICMP
13  184.105.65.13  210.940 ms ICMP
14  184.105.222.101  240.387 ms ICMP
15  74.82.51.78  334.061 ms ICMP
16  *
17  203.78.140.181  333.845 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 45.35.55.229
 1  *
 2  202.163.124.100  3.225 ms ICMP
 3  192.168.146.53  19.177 ms ICMP
 4  202.163.124.57  2.686 ms ICMP
 5  116.71.134.65  2.805 ms ICMP
 6  221.120.223.57  4.115 ms ICMP
 7  221.120.254.49  21.874 ms ICMP
 8  202.125.128.134  23.801 ms ICMP
 9  *
10  80.249.209.150  155.990 ms ICMP
11  184.105.213.66  285.370 ms ICMP
12  72.52.92.198  171.191 ms ICMP
13  184.105.65.245  225.931 ms ICMP
14  184.105.81.150  232.766 ms ICMP
15  72.52.92.225  236.932 ms ICMP
16  184.105.80.202  288.510 ms ICMP
17  72.52.92.122  287.827 ms ICMP
18  23.238.223.33  282.868 ms ICMP
19  *
20  45.35.55.229  279.051 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 91.222.5.75
 1  192.168.100.1  1.391 ms ICMP
 2  202.163.124.100  2.431 ms ICMP
 3  192.168.146.53  57.530 ms ICMP
 4  202.163.124.57  2.850 ms ICMP
 5  116.71.134.65  3.020 ms ICMP
 6  221.120.223.57  4.514 ms ICMP
 7  221.120.254.49  24.500 ms ICMP
 8  221.120.248.3  21.763 ms ICMP
 9  93.186.129.214  121.675 ms ICMP
10  195.22.211.50  162.462 ms ICMP
11  89.221.34.46  190.393 ms ICMP
12  212.200.5.37  195.549 ms ICMP
13  212.200.7.65  189.787 ms ICMP
14  185.1.27.42  179.152 ms ICMP
15  91.222.5.75  178.311 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 103.224.182.251
 1  192.168.100.1  0.932 ms ICMP
 2  202.163.124.100  4.320 ms ICMP
 3  192.168.146.53  4.649 ms ICMP
 4  202.163.124.57  3.637 ms ICMP
 5  116.71.134.65  3.265 ms ICMP
 6  221.120.223.57  5.280 ms ICMP
 7  221.120.254.49  24.195 ms ICMP
 8  221.120.248.3  23.281 ms ICMP
 9  93.186.129.214  123.089 ms ICMP
10  195.22.208.75  160.807 ms ICMP
11  130.117.15.37  160.746 ms ICMP
12  154.54.37.29  158.263 ms ICMP
13  154.54.58.238  158.146 ms ICMP
14  154.54.27.169  232.986 ms ICMP
15  154.54.40.110  239.483 ms ICMP
16  154.54.24.222  250.954 ms ICMP
17  154.54.28.130  267.183 ms ICMP
18  154.54.30.162  278.679 ms ICMP
19  154.54.42.77  286.413 ms ICMP
20  154.54.41.33  299.726 ms ICMP
21  154.24.7.226  297.572 ms ICMP
22  38.140.111.58  299.085 ms ICMP
23  103.224.213.253  299.217 ms ICMP
24  103.224.182.251  300.542 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 121.42.97.37
 1  *
 2  202.163.124.100  2.863 ms ICMP
 3  192.168.146.53  8.609 ms ICMP
 4  202.163.124.57  3.010 ms ICMP
 5  116.71.134.65  2.776 ms ICMP
 6  221.120.223.57  4.138 ms ICMP
 7  221.120.254.49  26.386 ms ICMP
 8  221.120.248.3  25.345 ms ICMP
 9  195.22.197.66  125.353 ms ICMP
10  89.221.40.141  306.157 ms ICMP
11  219.158.33.189  346.874 ms ICMP
12  219.158.16.97  334.719 ms ICMP
13  219.158.3.133  336.651 ms ICMP
14  219.158.4.169  338.441 ms ICMP
15  219.158.8.222  344.539 ms ICMP
16  *
17  27.221.80.226  342.911 ms ICMP
18  103.41.143.53  338.984 ms ICMP
19  116.251.114.129  337.678 ms ICMP
20  *
21  121.42.97.37  338.834 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 119.28.221.129
 1  192.168.100.1  0.901 ms ICMP
 2  202.163.124.100  5.394 ms ICMP
 3  192.168.146.53  4.359 ms ICMP
 4  202.163.124.57  4.078 ms ICMP
 5  116.71.134.65  2.725 ms ICMP
 6  221.120.223.53  5.001 ms ICMP
 7  221.120.254.18  27.107 ms ICMP
 8  221.120.248.46  23.225 ms ICMP
 9  1.9.241.177  109.218 ms ICMP
10  63.218.43.17  139.025 ms ICMP
11  63.218.174.197  140.474 ms ICMP
12  63.218.174.197  140.151 ms ICMP
13  63.217.237.2  138.070 ms ICMP
14  *
15  *
16  *
17  *
18  119.28.221.129  137.719 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 23.89.209.74
 1  192.168.100.1  0.891 ms ICMP
 2  202.163.124.100  2.313 ms ICMP
 3  192.168.146.53  7.201 ms ICMP
 4  202.163.124.57  2.762 ms ICMP
 5  116.71.134.65  2.971 ms ICMP
 6  221.120.223.57  2.865 ms ICMP
 7  221.120.254.49  25.809 ms ICMP
 8  221.120.248.3  24.316 ms ICMP
 9  *
10  80.249.209.150  156.222 ms ICMP
11  184.105.213.66  173.474 ms ICMP
12  72.52.92.198  172.225 ms ICMP
13  184.105.65.245  226.621 ms ICMP
14  184.105.81.150  233.292 ms ICMP
15  72.52.92.225  236.225 ms ICMP
16  184.105.80.202  288.993 ms ICMP
17  72.52.92.122  288.836 ms ICMP
18  *
19  *
20  23.89.209.74  284.019 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 136.243.111.229
 1  192.168.100.1  0.879 ms ICMP
 2  202.163.124.100  89.423 ms ICMP
 3  192.168.146.53  4.754 ms ICMP
 4  202.163.124.57  2.885 ms ICMP
 5  116.71.134.65  2.950 ms ICMP
 6  221.120.223.57  4.911 ms ICMP
 7  221.120.254.49  25.508 ms ICMP
 8  221.120.248.6  25.946 ms ICMP
 9  80.239.192.153  129.479 ms ICMP
10  62.115.112.230  146.389 ms ICMP
11  62.115.120.6  144.946 ms ICMP
12  213.248.70.3  164.621 ms ICMP
13  213.239.224.249  168.856 ms ICMP
14  213.239.203.230  168.605 ms ICMP
15  136.243.111.229  169.693 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.27.15.104
 1  192.168.100.1  0.898 ms ICMP
 2  202.163.124.100  2.813 ms ICMP
 3  *
 4  202.163.124.57  3.095 ms ICMP
 5  116.71.134.65  2.765 ms ICMP
 6  221.120.223.57  5.846 ms ICMP
 7  221.120.254.49  23.294 ms ICMP
 8  221.120.251.88  30.901 ms ICMP
 9  221.120.200.3  21.995 ms ICMP
10  104.27.15.104  19.794 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 162.159.210.22
 1  192.168.100.1  0.840 ms ICMP
 2  202.163.124.100  12.908 ms ICMP
 3  192.168.146.53  13.492 ms ICMP
 4  202.163.124.57  2.794 ms ICMP
 5  116.71.134.65  2.982 ms ICMP
 6  221.120.223.53  5.182 ms ICMP
 7  221.120.254.18  27.171 ms ICMP
 8  221.120.251.101  23.711 ms ICMP
 9  221.120.200.3  22.091 ms ICMP
10  162.159.210.22  20.869 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 120.26.63.165
 1  192.168.100.1  0.958 ms ICMP
 2  202.163.124.100  2.407 ms ICMP
 3  192.168.146.53  6.852 ms ICMP
 4  202.163.124.57  2.773 ms ICMP
 5  116.71.134.65  2.893 ms ICMP
 6  221.120.223.53  3.040 ms ICMP
 7  221.120.254.18  25.520 ms ICMP
 8  202.125.128.134  26.381 ms ICMP
 9  195.22.197.164  120.938 ms ICMP
10  195.22.211.36  153.488 ms ICMP
11  89.221.34.147  151.277 ms ICMP
12  202.97.95.205  264.780 ms ICMP
13  202.97.90.30  262.643 ms ICMP
14  202.97.94.242  308.528 ms ICMP
15  *
16  *
17  115.238.21.117  305.171 ms ICMP
18  42.120.247.57  284.946 ms ICMP
19  119.38.215.221  293.485 ms ICMP
20  *
21  *
22  120.26.63.165  320.400 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 89.201.175.5
 1  192.168.100.1  1.056 ms ICMP
 2  202.163.124.100  2.293 ms ICMP
 3  *
 4  202.163.124.57  2.885 ms ICMP
 5  116.71.134.65  2.855 ms ICMP
 6  221.120.223.53  3.182 ms ICMP
 7  221.120.254.18  24.476 ms ICMP
 8  221.120.248.3  22.829 ms ICMP
 9  202.125.134.22  155.097 ms ICMP
10  80.249.209.150  155.554 ms ICMP
11  72.52.92.6  165.584 ms ICMP
12  72.52.92.86  159.441 ms ICMP
13  184.105.223.110  165.391 ms ICMP
14  184.105.65.109  171.723 ms ICMP
15  184.105.64.214  177.993 ms ICMP
16  216.66.84.130  254.700 ms ICMP
17  85.114.32.138  174.128 ms ICMP
18  89.201.175.5  175.360 ms ICMP
tcp-traceroute from 192.168.100.4 to 112.124.52.175
 1  192.168.100.1  1.086 ms ICMP
 2  202.163.124.100  10.343 ms ICMP
 3  192.168.146.53  7.483 ms ICMP
 4  202.163.124.57  2.822 ms ICMP
 5  116.71.134.65  3.190 ms ICMP
 6  221.120.223.57  4.785 ms ICMP
 7  221.120.254.49  24.597 ms ICMP
 8  221.120.248.3  22.059 ms ICMP
 9  93.186.129.216  121.045 ms ICMP
10  195.22.211.104  151.899 ms ICMP
11  89.221.34.147  153.458 ms ICMP
12  202.97.94.85  294.435 ms ICMP
13  *
14  202.97.24.213  294.674 ms ICMP
15  *
16  *
17  115.236.101.209  300.676 ms ICMP
18  42.120.247.53  303.539 ms ICMP
19  42.120.244.238  300.861 ms ICMP
20  *
21  *
22  112.124.52.175  305.577 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 69.162.80.58
 1  192.168.100.1  3.429 ms ICMP
 2  202.163.124.100  2.465 ms ICMP
 3  192.168.146.53  23.639 ms ICMP
 4  202.163.124.57  6.461 ms ICMP
 5  116.71.134.65  2.777 ms ICMP
 6  221.120.223.53  5.947 ms ICMP
 7  221.120.254.18  28.190 ms ICMP
 8  202.125.128.134  27.019 ms ICMP
 9  202.125.134.22  157.354 ms ICMP
10  80.249.209.150  156.360 ms ICMP
11  184.105.213.66  166.440 ms ICMP
12  72.52.92.198  172.752 ms ICMP
13  184.105.65.245  227.084 ms ICMP
14  184.105.81.150  233.522 ms ICMP
15  72.52.92.225  249.866 ms ICMP
16  184.105.213.69  245.309 ms ICMP
17  184.105.81.170  269.333 ms ICMP
18  184.105.59.6  260.991 ms ICMP
19  *
20  208.115.192.50  261.431 ms ICMP
21  208.115.250.194  271.598 ms ICMP
22  69.162.80.58  304.554 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 205.209.139.120
 1  192.168.100.1  0.892 ms ICMP
 2  202.163.124.100  2.498 ms ICMP
 3  192.168.146.53  12.513 ms ICMP
 4  202.163.124.57  3.737 ms ICMP
 5  116.71.134.65  2.895 ms ICMP
 6  221.120.223.53  6.961 ms ICMP
 7  221.120.254.18  25.415 ms ICMP
 8  221.120.248.43  21.968 ms ICMP
 9  *
10  80.249.209.150  156.570 ms ICMP
11  72.52.92.213  183.574 ms ICMP
12  72.52.92.166  229.799 ms ICMP
13  184.105.81.218  292.987 ms ICMP
14  *
15  205.209.139.120  290.119 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.222.246.131
 1  192.168.100.1  0.958 ms ICMP
 2  202.163.124.100  2.388 ms ICMP
 3  192.168.146.53  7.714 ms ICMP
 4  202.163.124.57  2.913 ms ICMP
 5  116.71.134.65  2.945 ms ICMP
 6  221.120.223.53  6.270 ms ICMP
 7  221.120.254.18  26.798 ms ICMP
 8  202.125.128.134  26.691 ms ICMP
 9  *
10  80.249.209.150  155.687 ms ICMP
11  184.105.213.66  165.592 ms ICMP
12  72.52.92.198  188.469 ms ICMP
13  184.105.65.245  226.380 ms ICMP
14  184.105.81.150  235.171 ms ICMP
15  72.52.92.225  235.865 ms ICMP
16  184.105.80.202  288.730 ms ICMP
17  *
18  172.80.0.143  290.616 ms ICMP
19  104.222.246.131  290.904 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 103.224.182.250
 1  192.168.100.1  0.921 ms ICMP
 2  202.163.124.100  2.423 ms ICMP
 3  *
 4  202.163.124.57  2.865 ms ICMP
 5  116.71.134.65  2.884 ms ICMP
 6  221.120.223.53  6.917 ms ICMP
 7  221.120.254.18  25.511 ms ICMP
 8  221.120.248.43  20.850 ms ICMP
 9  93.186.142.194  124.768 ms ICMP
10  195.22.208.73  167.489 ms ICMP
11  130.117.15.37  156.124 ms ICMP
12  154.54.37.29  153.830 ms ICMP
13  154.54.58.238  153.746 ms ICMP
14  154.54.27.169  227.698 ms ICMP
15  154.54.40.110  235.364 ms ICMP
16  154.54.24.222  247.991 ms ICMP
17  154.54.28.130  262.766 ms ICMP
18  154.54.30.162  275.305 ms ICMP
19  154.54.42.65  285.346 ms ICMP
20  154.54.6.121  295.049 ms ICMP
21  154.24.7.230  295.017 ms ICMP
22  38.140.111.58  294.668 ms ICMP
23  103.224.213.253  295.682 ms ICMP
24  103.224.182.250  292.965 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 174.139.188.19
 1  192.168.100.1  1.491 ms ICMP
 2  202.163.124.100  3.634 ms ICMP
 3  *
 4  202.163.124.57  2.778 ms ICMP
 5  116.71.134.65  2.920 ms ICMP
 6  221.120.223.57  5.211 ms ICMP
 7  221.120.254.49  24.385 ms ICMP
 8  202.125.128.134  26.207 ms ICMP
 9  93.186.142.194  123.942 ms ICMP
10  195.22.205.13  142.777 ms ICMP
11  46.33.83.178  139.483 ms ICMP
12  89.149.140.77  293.930 ms ICMP
13  173.205.35.162  283.117 ms ICMP
14  184.164.196.234  297.301 ms ICMP
15  184.164.197.141  285.121 ms ICMP
16  174.139.188.19  284.552 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 88.135.36.122
 1  192.168.100.1  0.891 ms ICMP
 2  202.163.124.100  2.425 ms ICMP
 3  192.168.146.53  25.301 ms ICMP
 4  202.163.124.57  2.661 ms ICMP
 5  116.71.134.65  2.795 ms ICMP
 6  221.120.223.57  2.835 ms ICMP
 7  221.120.254.49  23.330 ms ICMP
 8  202.125.128.163  24.660 ms ICMP
 9  93.186.129.216  120.908 ms ICMP
10  195.22.211.39  164.445 ms ICMP
11  89.221.34.11  230.788 ms ICMP
12  *
13  *
14  *
15  *
16  *
17  88.135.36.122  223.277 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 118.25.57.176
 1  192.168.100.1  0.923 ms ICMP
 2  202.163.124.100  2.342 ms ICMP
 3  192.168.146.53  46.986 ms ICMP
 4  202.163.124.57  2.871 ms ICMP
 5  116.71.134.65  2.817 ms ICMP
 6  221.120.223.53  4.648 ms ICMP
 7  221.120.254.18  25.713 ms ICMP
 8  221.120.248.3  26.046 ms ICMP
 9  195.22.197.164  121.163 ms ICMP
10  195.22.211.104  154.791 ms ICMP
11  89.221.34.147  155.518 ms ICMP
