tcp-traceroute from 192.168.100.4 to 104.20.67.46
tcp-traceroute from 192.168.100.4 to 23.23.85.204
 1  192.168.100.1  0.859 ms ICMP
 2  202.163.124.100  4.705 ms ICMP
 3  192.168.146.53  5.203 ms ICMP
 4  202.163.124.57  3.313 ms ICMP
 5  116.71.134.65  2.800 ms ICMP
 6  221.120.223.53  4.602 ms ICMP
 7  221.120.254.18  26.951 ms ICMP
 8  221.120.248.43  21.962 ms ICMP
 9  195.229.27.137  40.568 ms ICMP
10  195.229.0.93  38.907 ms ICMP
11  195.229.3.169  235.480 ms ICMP
12  195.229.3.169  534.810 ms ICMP
13  206.126.236.35  243.772 ms ICMP
14  54.239.111.240  273.021 ms ICMP
15  52.93.114.77  242.837 ms ICMP
16  *
17  *
18  *
19  52.93.28.206  236.162 ms ICMP
20  *
21  *
22  *
23  *
24  *
25  23.23.85.204  235.515 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 192.168.51.5
 1  192.168.100.1  0.929 ms ICMP
 2  202.163.124.100  2.435 ms ICMP
 3  192.168.146.53  65.291 ms ICMP
 4  192.168.51.5  2.888 ms [TCP, RST]
tcp-traceroute from 192.168.100.4 to 47.96.29.213
 1  192.168.100.1  0.892 ms ICMP
 2  202.163.124.100  3.151 ms ICMP
 3  192.168.146.53  4.680 ms ICMP
 4  202.163.124.57  2.807 ms ICMP
 5  116.71.134.65  3.012 ms ICMP
 6  221.120.223.57  5.630 ms ICMP
 7  221.120.254.49  23.623 ms ICMP
 8  202.125.128.134  27.136 ms ICMP
 9  93.186.129.214  122.504 ms ICMP
10  195.22.211.104  154.531 ms ICMP
11  89.221.34.147  152.824 ms ICMP
12  202.97.89.113  262.717 ms ICMP
13  *
14  202.97.57.146  361.109 ms ICMP
15  *
16  220.191.200.54  357.087 ms ICMP
17  115.236.101.221  354.802 ms ICMP
18  42.120.247.49  358.771 ms ICMP
19  *
20  *
21  *
22  47.96.29.213  264.180 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 124.156.167.88
 1  192.168.100.1  1.821 ms ICMP
 2  202.163.124.100  3.157 ms ICMP
 3  *
 4  202.163.124.57  2.817 ms ICMP
 5  116.71.134.65  2.821 ms ICMP
 6  221.120.223.53  6.176 ms ICMP
 7  221.120.254.18  26.050 ms ICMP
 8  221.120.248.46  24.528 ms ICMP
 9  116.51.26.49  102.680 ms ICMP
10  129.250.7.18  101.092 ms ICMP
11  129.250.4.34  103.437 ms ICMP
12  129.250.7.67  136.690 ms ICMP
13  129.250.6.92  141.914 ms ICMP
14  129.250.6.115  136.140 ms ICMP
15  203.131.251.142  137.191 ms ICMP
16  218.189.5.25  137.831 ms ICMP
17  218.189.29.122  136.337 ms ICMP
18  *
19  10.164.68.253  224.410 ms ICMP
20  124.156.167.88  137.137 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 211.149.210.181
 1  192.168.100.1  0.853 ms ICMP
 2  202.163.124.100  6.405 ms ICMP
 3  192.168.146.53  6.380 ms ICMP
 4  202.163.124.57  2.810 ms ICMP
 5  116.71.134.65  3.195 ms ICMP
 6  221.120.223.57  3.223 ms ICMP
 7  221.120.254.49  25.304 ms ICMP
 8  202.125.128.151  25.169 ms ICMP
 9  149.14.125.225  134.886 ms ICMP
10  130.117.49.2  147.822 ms ICMP
11  130.117.0.18  153.663 ms ICMP
12  154.54.36.53  156.440 ms ICMP
13  130.117.0.2  155.524 ms ICMP
14  149.14.159.114  156.055 ms ICMP
15  202.97.52.225  302.287 ms ICMP
16  202.97.91.193  305.352 ms ICMP
17  202.97.91.29  330.169 ms ICMP
18  202.97.65.198  350.060 ms ICMP
19  182.140.220.226  346.788 ms ICMP
20  118.123.230.86  351.134 ms ICMP
21  *
22  211.149.210.181  340.283 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 203.69.66.6
 1  192.168.100.1  0.873 ms ICMP
 2  202.163.124.100  2.265 ms ICMP
 3  *
 4  202.163.124.57  3.134 ms ICMP
 5  116.71.134.65  2.855 ms ICMP
 6  221.120.223.57  5.004 ms ICMP
 7  221.120.254.49  28.154 ms ICMP
 8  202.125.128.164  22.763 ms ICMP
 9  *
10  4.69.207.49  283.368 ms ICMP
11  *
12  *
13  *
14  *
15  *
16  *
17  *
18  *
19  *
20  *
21  *
22  *
23  *
24  *
25  *
tcp-traceroute from 192.168.100.4 to 115.159.16.23
 1  192.168.100.1  0.901 ms ICMP
 2  202.163.124.100  3.567 ms ICMP
 3  192.168.146.53  58.018 ms ICMP
 4  202.163.124.57  31.222 ms ICMP
 5  116.71.134.65  2.845 ms ICMP
 6  221.120.223.57  5.371 ms ICMP
 7  221.120.254.49  24.186 ms ICMP
 8  221.120.248.3  22.105 ms ICMP
 9  93.186.129.214  121.508 ms ICMP
10  195.22.211.36  154.758 ms ICMP
11  89.221.34.147  152.267 ms ICMP
12  202.97.90.181  294.949 ms ICMP
13  202.97.33.253  291.360 ms ICMP
14  202.97.24.181  313.439 ms ICMP
15  61.152.24.41  311.109 ms ICMP
16  124.74.166.150  333.134 ms ICMP
17  *
18  180.163.27.202  329.121 ms ICMP
19  *
20  182.254.127.54  323.962 ms ICMP
21  *
22  *
23  115.159.16.23  332.898 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 119.28.68.191
 1  192.168.100.1  0.890 ms ICMP
 2  202.163.124.100  40.374 ms ICMP
 3  *
 4  202.163.124.57  2.651 ms ICMP
 5  116.71.134.65  2.812 ms ICMP
 6  221.120.223.53  5.116 ms ICMP
 7  221.120.254.18  34.120 ms ICMP
 8  221.120.248.6  22.343 ms ICMP
 9  1.9.241.177  106.459 ms ICMP
10  63.218.43.17  136.390 ms ICMP
11  63.218.174.197  138.041 ms ICMP
12  63.218.174.197  137.682 ms ICMP
13  63.217.237.2  135.639 ms ICMP
14  *
15  *
16  119.28.68.191  139.988 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 52.44.42.61
 1  192.168.100.1  0.858 ms ICMP
 2  202.163.124.100  2.278 ms ICMP
 3  192.168.146.53  4.883 ms ICMP
 4  202.163.124.57  2.662 ms ICMP
 5  116.71.134.65  2.865 ms ICMP
 6  221.120.223.53  3.522 ms ICMP
 7  221.120.254.18  25.381 ms ICMP
 8  202.125.128.171  23.321 ms ICMP
 9  149.14.125.225  131.929 ms ICMP
10  130.117.49.153  142.934 ms ICMP
11  66.28.4.197  216.331 ms ICMP
12  66.28.4.182  212.200 ms ICMP
13  38.140.107.42  235.079 ms ICMP
14  52.93.31.53  220.069 ms ICMP
15  52.93.4.4  216.782 ms ICMP
16  *
17  54.240.229.139  220.511 ms ICMP
18  *
19  *
20  *
21  *
22  *
23  *
24  *
25  *
26  52.93.28.204  228.370 ms ICMP
27  *
28  *
29  *
30  *
31  *
32  52.44.42.61  231.486 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 112.124.55.201
 1  192.168.100.1  0.800 ms ICMP
 2  202.163.124.100  3.228 ms ICMP
 3  *
 4  202.163.124.57  3.071 ms ICMP
 5  116.71.134.65  2.780 ms ICMP
 6  221.120.223.57  4.273 ms ICMP
 7  221.120.254.49  25.372 ms ICMP
 8  202.125.128.163  22.355 ms ICMP
 9  93.186.129.176  121.375 ms ICMP
10  195.22.211.104  160.630 ms ICMP
11  89.221.34.147  160.181 ms ICMP
12  202.97.86.113  268.178 ms ICMP
13  *
14  202.97.62.157  306.824 ms ICMP
15  *
16  220.191.200.46  287.166 ms ICMP
17  122.224.214.66  297.698 ms ICMP
18  42.120.247.97  295.225 ms ICMP
19  140.205.27.201  292.547 ms ICMP
20  *
21  *
22  112.124.55.201  270.428 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.28.29.248
 1  192.168.100.1  0.944 ms ICMP
 2  202.163.124.100  2.395 ms ICMP
 3  *
 4  202.163.124.57  2.983 ms ICMP
 5  116.71.134.65  3.425 ms ICMP
 6  221.120.223.53  6.564 ms ICMP
 7  221.120.254.18  26.874 ms ICMP
 8  221.120.251.101  22.173 ms ICMP
 9  221.120.200.3  20.363 ms ICMP
10  104.28.29.248  21.717 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 47.75.169.254
 1  192.168.100.1  0.977 ms ICMP
 2  202.163.124.100  2.842 ms ICMP
 3  *
 4  202.163.124.57  3.582 ms ICMP
 5  116.71.134.65  2.877 ms ICMP
 6  221.120.223.57  5.002 ms ICMP
 7  221.120.254.49  22.304 ms ICMP
 8  221.120.248.6  25.263 ms ICMP
 9  116.51.31.117  102.926 ms ICMP
10  129.250.7.18  101.020 ms ICMP
11  129.250.4.34  104.323 ms ICMP
12  129.250.7.67  137.355 ms ICMP
13  129.250.6.98  136.721 ms ICMP
14  129.250.5.69  139.338 ms ICMP
15  203.131.247.234  138.244 ms ICMP
16  116.251.82.177  136.929 ms ICMP
17  11.131.180.253  141.500 ms ICMP
18  11.56.8.21  140.360 ms ICMP
19  47.75.169.254  138.807 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 18.185.142.64
 1  192.168.100.1  0.911 ms ICMP
 2  202.163.124.100  2.641 ms ICMP
 3  192.168.146.53  4.466 ms ICMP
 4  202.163.124.57  2.716 ms ICMP
 5  116.71.134.65  5.413 ms ICMP
 6  221.120.223.57  2.631 ms ICMP
 7  221.120.254.49  24.542 ms ICMP
 8  202.125.128.134  23.209 ms ICMP
 9  195.229.27.137  40.506 ms ICMP
10  195.229.0.89  40.117 ms ICMP
11  *
12  *
13  *
14  54.239.46.109  154.978 ms ICMP
15  52.93.68.150  154.573 ms ICMP
16  54.239.46.153  156.473 ms ICMP
17  52.93.21.151  165.253 ms ICMP
18  54.239.43.249  158.394 ms ICMP
19  *
20  *
21  *
22  52.93.111.173  151.314 ms ICMP
23  54.239.107.137  194.886 ms ICMP
24  52.93.23.116  153.033 ms ICMP
25  *
26  *
27  *
28  *
29  *
30  18.185.142.64  155.162 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.27.190.117
 1  192.168.100.1  67.282 ms ICMP
 2  202.163.124.100  2.313 ms ICMP
 3  192.168.146.53  4.490 ms ICMP
 4  202.163.124.57  2.623 ms ICMP
 5  116.71.134.65  2.946 ms ICMP
 6  221.120.223.53  3.439 ms ICMP
 7  221.120.254.18  26.204 ms ICMP
 8  221.120.251.101  26.698 ms ICMP
 9  221.120.200.3  96.761 ms ICMP
10  104.27.190.117  24.007 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 88.99.151.104
 1  192.168.100.1  0.896 ms ICMP
 2  202.163.124.100  2.254 ms ICMP
 3  *
 4  202.163.124.57  3.665 ms ICMP
 5  116.71.134.65  2.931 ms ICMP
 6  221.120.223.57  4.980 ms ICMP
 7  221.120.254.49  23.369 ms ICMP
 8  202.125.128.135  24.948 ms ICMP
 9  80.239.192.153  130.325 ms ICMP
10  62.115.112.230  146.567 ms ICMP
11  62.115.120.6  145.976 ms ICMP
12  213.248.70.3  180.531 ms ICMP
13  213.239.224.241  172.065 ms ICMP
14  213.239.245.230  175.211 ms ICMP
15  88.99.151.104  189.827 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 121.199.250.138
 1  192.168.100.1  10.997 ms ICMP
 2  202.163.124.100  2.960 ms ICMP
 3  192.168.146.53  4.794 ms ICMP
 4  202.163.124.57  2.749 ms ICMP
 5  116.71.134.65  2.835 ms ICMP
 6  221.120.223.53  5.820 ms ICMP
 7  221.120.254.18  26.844 ms ICMP
 8  202.125.128.134  26.209 ms ICMP
 9  93.186.142.194  123.894 ms ICMP
10  195.22.211.104  163.827 ms ICMP
11  89.221.34.147  164.184 ms ICMP
12  202.97.52.193  289.368 ms ICMP
13  *
14  202.97.23.121  294.353 ms ICMP
15  202.97.26.14  292.265 ms ICMP
16  *
17  115.236.101.221  296.578 ms ICMP
18  42.120.247.61  300.074 ms ICMP
19  106.11.144.42  304.879 ms ICMP
20  *
21  121.199.250.138  280.445 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 5.160.243.188
 1  192.168.100.1  0.914 ms ICMP
 2  202.163.124.100  3.080 ms ICMP
 3  *
 4  202.163.124.57  3.953 ms ICMP
 5  116.71.134.65  2.877 ms ICMP
 6  221.120.223.57  4.841 ms ICMP
 7  221.120.254.49  23.448 ms ICMP
 8  202.125.128.163  25.806 ms ICMP
 9  93.186.142.194  122.515 ms ICMP
10  195.22.211.39  160.852 ms ICMP
11  89.221.34.11  229.702 ms ICMP
12  *
13  *
14  *
15  *
16  *
17  5.160.243.188  218.287 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 183.61.244.225
 1  192.168.100.1  0.924 ms ICMP
 2  202.163.124.100  3.433 ms ICMP
 3  *
 4  202.163.124.57  2.829 ms ICMP
 5  116.71.134.65  3.032 ms ICMP
 6  221.120.223.53  4.521 ms ICMP
 7  221.120.254.18  29.344 ms ICMP
 8  221.120.248.43  24.521 ms ICMP
 9  93.186.142.194  125.111 ms ICMP
10  195.22.216.143  238.788 ms ICMP
11  218.30.54.106  236.605 ms ICMP
12  202.97.49.177  311.606 ms ICMP
13  202.97.41.129  343.406 ms ICMP
14  *
15  202.97.66.153  348.856 ms ICMP
16  113.96.254.5  344.567 ms ICMP
17  *
18  *
19  *
20  *
21  *
22  183.61.244.225  345.343 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 95.213.180.122
 1  192.168.100.1  0.804 ms ICMP
 2  202.163.124.100  3.335 ms ICMP
 3  *
 4  202.163.124.57  52.571 ms ICMP
 5  116.71.134.65  2.853 ms ICMP
 6  221.120.223.57  4.967 ms ICMP
 7  221.120.254.49  25.897 ms ICMP
 8  221.120.248.3  27.020 ms ICMP
 9  *
10  80.249.209.150  158.440 ms ICMP
11  216.66.93.82  167.683 ms ICMP
12  *
13  *
14  81.27.252.147  200.269 ms ICMP
15  188.93.17.137  199.045 ms ICMP
16  95.213.180.122  197.957 ms ICMP
tcp-traceroute from 192.168.100.4 to 203.115.217.243
 1  192.168.100.1  0.835 ms ICMP
 2  202.163.124.100  2.218 ms ICMP
 3  192.168.146.53  4.895 ms ICMP
 4  202.163.124.57  2.791 ms ICMP
 5  116.71.134.65  2.764 ms ICMP
 6  221.120.223.57  5.224 ms ICMP
 7  221.120.254.49  22.363 ms ICMP
 8  221.120.248.6  22.852 ms ICMP
 9  *
10  4.69.161.66  142.844 ms ICMP
11  4.68.63.82  212.914 ms ICMP
12  129.250.5.39  209.716 ms ICMP
13  129.250.4.133  209.783 ms ICMP
14  129.250.4.24  220.119 ms ICMP
15  129.250.2.26  213.817 ms ICMP
16  129.250.7.65  220.541 ms ICMP
17  129.250.3.50  225.494 ms ICMP
18  129.250.12.82  228.228 ms ICMP
19  203.115.232.54  232.852 ms ICMP
20  203.115.229.157  227.167 ms ICMP
21  *
22  *
23  *
24  203.115.217.243  226.385 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.28.13.25
 1  192.168.100.1  3.035 ms ICMP
 2  202.163.124.100  2.350 ms ICMP
 3  *
 4  202.163.124.57  2.706 ms ICMP
 5  116.71.134.65  3.068 ms ICMP
 6  221.120.223.57  6.070 ms ICMP
 7  221.120.254.49  25.422 ms ICMP
 8  221.120.251.88  20.312 ms ICMP
 9  221.120.200.3  22.253 ms ICMP
10  104.28.13.25  20.055 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 39.107.146.250
 1  192.168.100.1  0.908 ms ICMP
 2  202.163.124.100  2.938 ms ICMP
 3  *
 4  202.163.124.57  2.381 ms ICMP
 5  116.71.134.65  4.717 ms ICMP
 6  221.120.223.53  4.064 ms ICMP
 7  221.120.254.18  28.298 ms ICMP
 8  221.120.248.3  27.922 ms ICMP
 9  93.186.142.194  125.669 ms ICMP
10  195.22.211.36  158.660 ms ICMP
11  89.221.34.147  156.087 ms ICMP
12  202.97.52.69  508.333 ms ICMP
13  *
14  202.97.34.157  380.332 ms ICMP
15  *
16  *
17  106.38.196.246  375.406 ms ICMP
18  *
19  *
20  *
21  *
22  39.107.146.250  374.517 ms ICMP
tcp-traceroute from 192.168.100.4 to 121.12.125.83
 1  192.168.100.1  0.871 ms ICMP
 2  202.163.124.100  3.167 ms ICMP
 3  *
 4  202.163.124.57  3.151 ms ICMP
 5  116.71.134.65  3.395 ms ICMP
 6  221.120.223.57  5.971 ms ICMP
 7  221.120.254.49  23.887 ms ICMP
 8  202.125.128.163  21.429 ms ICMP
 9  195.22.197.118  120.816 ms ICMP
10  195.22.216.201  238.776 ms ICMP
11  218.30.54.106  227.453 ms ICMP
12  202.97.97.178  305.957 ms ICMP
13  *
14  *
15  202.97.91.21  348.614 ms ICMP
16  113.96.254.5  343.305 ms ICMP
17  *
18  *
19  *
20  *
21  *
22  121.12.125.83  346.424 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 13.126.174.14
 1  192.168.100.1  0.846 ms ICMP
 2  202.163.124.100  4.366 ms ICMP
 3  192.168.146.53  5.021 ms ICMP
 4  202.163.124.57  2.592 ms ICMP
 5  116.71.134.65  2.747 ms ICMP
 6  221.120.223.53  5.648 ms ICMP
 7  221.120.254.18  24.413 ms ICMP
 8  221.120.248.3  22.416 ms ICMP
 9  93.186.129.216  120.837 ms ICMP
10  195.22.211.48  158.850 ms ICMP
11  89.221.34.75  151.339 ms ICMP
12  54.239.107.8  211.832 ms ICMP
13  54.239.107.17  210.206 ms ICMP
14  *
15  54.239.43.248  212.084 ms ICMP
16  54.239.43.254  212.647 ms ICMP
17  52.95.67.166  219.291 ms ICMP
18  52.95.67.157  215.067 ms ICMP
19  52.95.67.46  214.971 ms ICMP
20  52.95.64.244  220.286 ms ICMP
21  52.95.64.255  216.576 ms ICMP
22  52.95.67.171  212.853 ms ICMP
23  52.95.67.178  213.483 ms ICMP
24  *
25  *
26  *
27  13.126.174.14  215.916 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 122.114.59.226
 1  192.168.100.1  11.674 ms ICMP
 2  202.163.124.100  2.964 ms ICMP
 3  *
 4  202.163.124.57  2.837 ms ICMP
 5  116.71.134.65  2.820 ms ICMP
 6  221.120.223.53  6.375 ms ICMP
 7  221.120.254.18  25.941 ms ICMP
 8  202.125.128.163  21.141 ms ICMP
 9  195.22.197.118  118.836 ms ICMP
10  195.22.216.143  236.622 ms ICMP
11  218.30.54.106  227.302 ms ICMP
12  202.97.90.193  306.996 ms ICMP
13  202.97.52.169  334.800 ms ICMP
14  *
15  *
16  202.97.54.206  363.596 ms ICMP
17  *
18  222.85.75.201  356.847 ms ICMP
19  *
20  *
21  *
22  122.114.59.226  359.990 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.31.93.129
 1  192.168.100.1  0.895 ms ICMP
 2  202.163.124.100  2.285 ms ICMP
 3  192.168.146.53  12.788 ms ICMP
 4  202.163.124.57  2.540 ms ICMP
 5  116.71.134.65  2.847 ms ICMP
 6  221.120.223.53  3.300 ms ICMP
 7  221.120.254.18  33.600 ms ICMP
 8  221.120.251.101  22.212 ms ICMP
 9  221.120.200.3  22.218 ms ICMP
10  104.31.93.129  20.436 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.25.138.19
 1  192.168.100.1  0.829 ms ICMP
 2  202.163.124.100  2.423 ms ICMP
 3  192.168.146.53  4.957 ms ICMP
 4  202.163.124.57  3.013 ms ICMP
 5  116.71.134.65  2.854 ms ICMP
 6  221.120.223.53  3.377 ms ICMP
 7  221.120.254.18  25.185 ms ICMP
 8  221.120.251.101  23.548 ms ICMP
 9  221.120.200.3  21.981 ms ICMP
10  104.25.138.19  23.044 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 172.104.210.49
 1  192.168.100.1  0.860 ms ICMP
 2  202.163.124.100  2.293 ms ICMP
 3  *
 4  202.163.124.57  2.757 ms ICMP
 5  116.71.134.65  2.877 ms ICMP
 6  221.120.223.57  3.870 ms ICMP
 7  221.120.254.49  22.506 ms ICMP
 8  221.120.248.3  24.750 ms ICMP
 9  93.186.142.194  123.096 ms ICMP
10  195.22.205.39  150.340 ms ICMP
11  93.186.128.157  217.975 ms ICMP
12  129.250.5.82  299.294 ms ICMP
13  129.250.3.183  213.043 ms ICMP
14  129.250.5.81  222.525 ms ICMP
15  129.250.2.4  298.200 ms ICMP
16  129.250.3.98  304.040 ms ICMP
17  199.245.16.78  232.232 ms ICMP
18  173.255.239.17  235.962 ms ICMP
19  172.104.210.49  233.542 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 47.110.173.240
 1  192.168.100.1  0.852 ms ICMP
 2  202.163.124.100  3.420 ms ICMP
 3  *
 4  202.163.124.57  2.657 ms ICMP
 5  116.71.134.65  2.792 ms ICMP
 6  221.120.223.57  3.645 ms ICMP
 7  221.120.254.49  21.555 ms ICMP
 8  202.125.128.134  23.124 ms ICMP
 9  93.186.129.216  120.925 ms ICMP
10  195.22.211.104  162.307 ms ICMP
11  89.221.34.147  160.571 ms ICMP
12  202.97.95.205  279.429 ms ICMP
13  202.97.33.53  270.693 ms ICMP
14  202.97.50.133  314.524 ms ICMP
15  *
16  220.191.200.30  310.387 ms ICMP
17  115.236.101.213  321.471 ms ICMP
18  42.120.247.97  309.872 ms ICMP
19  106.11.37.61  311.369 ms ICMP
20  *
21  *
22  47.110.173.240  296.794 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 124.42.8.140
 1  192.168.100.1  0.862 ms ICMP
 2  202.163.124.100  2.798 ms ICMP
 3  *
 4  202.163.124.57  2.500 ms ICMP
 5  116.71.134.65  3.080 ms ICMP
 6  221.120.223.57  4.436 ms ICMP
 7  221.120.254.49  24.357 ms ICMP
 8  221.120.248.46  24.590 ms ICMP
 9  116.51.31.117  103.306 ms ICMP
10  129.250.7.20  104.226 ms ICMP
11  129.250.4.54  104.930 ms ICMP
12  129.250.2.243  167.512 ms ICMP
13  129.250.2.152  166.199 ms ICMP
14  202.97.51.61  250.206 ms ICMP
15  *
16  202.97.57.26  287.450 ms ICMP
17  *
18  *
19  219.158.5.5  297.595 ms ICMP
20  *
21  *
22  *
23  *
24  119.253.3.242  335.785 ms ICMP
25  119.253.2.70  331.434 ms ICMP
26  119.253.13.139  386.341 ms ICMP
27  124.42.8.140  1269.775 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 202.108.8.151
 1  192.168.100.1  0.887 ms ICMP
 2  202.163.124.100  2.394 ms ICMP
 3  192.168.146.53  4.514 ms ICMP
 4  202.163.124.57  2.749 ms ICMP
 5  116.71.134.65  2.690 ms ICMP
 6  221.120.223.53  3.191 ms ICMP
 7  221.120.254.18  26.820 ms ICMP
 8  202.125.128.164  24.658 ms ICMP
 9  116.51.27.49  105.628 ms ICMP
10  129.250.7.18  102.095 ms ICMP
11  129.250.4.34  103.416 ms ICMP
12  129.250.2.67  166.767 ms ICMP
13  129.250.7.33  165.267 ms ICMP
14  219.158.34.153  259.357 ms ICMP
15  219.158.16.77  261.472 ms ICMP
16  219.158.18.65  276.116 ms ICMP
17  *
18  124.65.194.86  263.960 ms ICMP
19  61.148.143.18  253.701 ms ICMP
20  61.49.42.130  253.416 ms ICMP
21  202.108.8.151  252.249 ms ICMP
tcp-traceroute from 192.168.100.4 to 104.24.115.55
 1  192.168.100.1  0.799 ms ICMP
 2  202.163.124.100  2.236 ms ICMP
 3  192.168.146.53  4.566 ms ICMP
 4  202.163.124.57  2.707 ms ICMP
 5  116.71.134.65  2.868 ms ICMP
 6  221.120.223.53  6.415 ms ICMP
 7  221.120.254.18  23.385 ms ICMP
 8  221.120.251.101  22.122 ms ICMP
 9  221.120.200.3  20.322 ms ICMP
10  104.24.115.55  20.388 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 104.27.177.76
 1  192.168.100.1  0.975 ms ICMP
 2  202.163.124.100  2.263 ms ICMP
 3  192.168.146.53  4.660 ms ICMP
 4  202.163.124.57  2.742 ms ICMP
 5  116.71.134.65  2.996 ms ICMP
 6  221.120.223.57  2.768 ms ICMP
 7  221.120.254.49  24.043 ms ICMP
 8  221.120.251.88  20.369 ms ICMP
 9  221.120.200.3  22.292 ms ICMP
10  104.27.177.76  24.855 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 118.178.214.105
 1  192.168.100.1  0.891 ms ICMP
 2  202.163.124.100  3.853 ms ICMP
 3  192.168.146.53  5.918 ms ICMP
 4  202.163.124.57  2.840 ms ICMP
 5  116.71.134.65  2.687 ms ICMP
 6  221.120.223.53  2.834 ms ICMP
 7  221.120.254.18  27.131 ms ICMP
 8  221.120.248.3  25.657 ms ICMP
 9  93.186.129.216  121.727 ms ICMP
10  195.22.211.36  159.531 ms ICMP
11  89.221.34.147  159.469 ms ICMP
12  202.97.52.193  281.549 ms ICMP
13  *
14  202.97.24.225  286.008 ms ICMP
15  202.97.26.14  292.947 ms ICMP
16  *
17  122.224.214.70  282.921 ms ICMP
18  *
19  119.38.215.129  306.273 ms ICMP
20  106.11.130.165  311.999 ms ICMP
21  *
22  118.178.214.105  289.929 ms ICMP
tcp-traceroute from 192.168.100.4 to 104.31.90.168
 1  192.168.100.1  0.901 ms ICMP
 2  202.163.124.100  2.296 ms ICMP
 3  192.168.146.53  6.181 ms ICMP
 4  202.163.124.57  2.859 ms ICMP
 5  116.71.134.65  3.168 ms ICMP
 6  221.120.223.57  5.641 ms ICMP
 7  221.120.254.49  25.250 ms ICMP
 8  221.120.251.88  23.359 ms ICMP
 9  221.120.200.3  25.657 ms ICMP
10  104.31.90.168  23.035 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 61.129.249.39
 1  192.168.100.1  23.772 ms ICMP
 2  202.163.124.100  7.566 ms ICMP
 3  *
 4  202.163.124.57  3.773 ms ICMP
 5  116.71.134.65  2.972 ms ICMP
 6  221.120.223.57  3.811 ms ICMP
 7  221.120.254.49  21.969 ms ICMP
 8  221.120.248.46  24.700 ms ICMP
 9  80.239.192.153  129.529 ms ICMP
10  62.115.112.238  144.915 ms ICMP
11  62.115.141.235  147.305 ms ICMP
12  202.97.58.149  148.183 ms ICMP
13  *
14  202.97.33.125  271.667 ms ICMP
15  202.97.50.217  270.883 ms ICMP
16  *
17  124.74.166.150  272.610 ms ICMP
18  101.95.225.218  271.873 ms ICMP
19  61.129.114.18  270.730 ms ICMP
20  61.129.249.39  269.941 ms ICMP
tcp-traceroute from 192.168.100.4 to 104.27.241.247
 1  192.168.100.1  0.849 ms ICMP
 2  202.163.124.100  2.233 ms ICMP
 3  *
 4  202.163.124.57  3.197 ms ICMP
 5  116.71.134.65  2.790 ms ICMP
 6  221.120.223.53  5.944 ms ICMP
 7  221.120.254.18  23.185 ms ICMP
 8  221.120.251.101  22.067 ms ICMP
 9  221.120.200.3  20.130 ms ICMP
10  104.27.241.247  19.215 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 58.215.98.35
 1  192.168.100.1  0.948 ms ICMP
 2  202.163.124.100  2.199 ms ICMP
 3  192.168.146.53  4.563 ms ICMP
 4  202.163.124.57  3.854 ms ICMP
 5  116.71.134.65  2.820 ms ICMP
 6  221.120.223.53  3.778 ms ICMP
 7  221.120.254.18  180.806 ms ICMP
 8  202.125.128.163  20.677 ms ICMP
 9  195.22.197.122  118.294 ms ICMP
10  195.22.211.104  151.340 ms ICMP
11  89.221.34.147  152.871 ms ICMP
12  202.97.94.85  289.949 ms ICMP
13  202.97.33.121  299.524 ms ICMP
14  202.97.94.238  325.300 ms ICMP
15  *
16  61.177.113.70  342.023 ms ICMP
17  *
18  58.215.32.154  378.712 ms ICMP
19  *
20  58.215.98.35  388.044 ms [SYN-ACK]
tcp-traceroute from 192.168.100.4 to 211.154.10.113
 1  192.168.100.1  80.958 ms ICMP
 2  202.163.124.100  4.219 ms ICMP
